"filename", "language", "JSON", "JavaScript", "JavaScript React", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"f:\graduate_design\operator_test\frontend\src\redux\reducers\corpusSet.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 2, 84
"f:\graduate_design\operator_test\frontend\src\redux\reducers\diffTest.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 2, 65
"f:\graduate_design\operator_test\frontend\src\redux\reducers\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"f:\graduate_design\operator_test\frontend\src\redux\reducers\mutateMethod.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 2, 64
"f:\graduate_design\operator_test\frontend\src\redux\reducers\spider.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 3, 51
"f:\graduate_design\operator_test\frontend\src\redux\store.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"f:\graduate_design\operator_test\frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"f:\graduate_design\operator_test\frontend\src\setupProxy.js", "JavaScript", 0, 10, 0, 0, 0, 0, 5, 1, 16
"f:\graduate_design\operator_test\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 17726, 643, 4399, 17, 447, 38, 155, 583, 24008
